solv_comb_sm,salt_comb_sm,solv_ecfp_pca_0,solv_ecfp_pca_1,solv_ecfp_pca_2,solv_ecfp_pca_3,solv_ecfp_pca_4,solv_ecfp_pca_5,solv_ecfp_pca_6,solv_ecfp_pca_7,solv_ecfp_pca_8,solv_ecfp_pca_9,salt_ecfp_pca_0,salt_ecfp_pca_1,salt_ecfp_pca_2,salt_ecfp_pca_3,salt_ecfp_pca_4,salt_ecfp_pca_5,salt_ecfp_pca_6,salt_ecfp_pca_7,salt_ecfp_pca_8,salt_ecfp_pca_9,mol_wt_solv,mol_wt_salt,conc_salt_1,theor_capacity,amt_electrolyte,norm_capacity_1,norm_capacity_2,norm_capacity_3,norm_capacity_4,norm_capacity_5,norm_capacity_6,norm_capacity_7,norm_capacity_8,norm_capacity_9,norm_capacity_10,norm_capacity_11,norm_capacity_12,norm_capacity_13,norm_capacity_14,norm_capacity_15,norm_capacity_16,norm_capacity_17,norm_capacity_18,norm_capacity_19,norm_capacity_20,norm_capacity_21,norm_capacity_22,norm_capacity_23
CN1C(C)(C)CCCC1(C)C,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1.154580859,-1.168029622,0.649902203,-0.116635784,0.382289815,-0.378234553,-0.667126386,1.046499388,0.420562708,-1.047499382,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,155.1673997,186.9396855,1,150,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC1(C)CCCC(C)(C)N1Cl,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.955032634,-1.26424607,0.621732663,-0.341995602,0.374763363,-0.332263475,-0.804000256,0.733635071,0.479057213,-1.033858357,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,175.1127773,186.9396855,1,150,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN1CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1.389185153,-0.935875879,0.111029444,0.485330686,0.308117278,-0.724181092,0.398490902,0.687893646,-0.342577279,-0.959080834,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,99.10479942,186.9396855,1,150,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN1CCCCC1,[Li+].F[P-](F)(F)(F)(F)F,1.389185153,-0.935875879,0.111029444,0.485330686,0.308117278,-0.724181092,0.398490902,0.687893646,-0.342577279,-0.959080834,-2.371316852,-0.309856161,-0.8897859,-0.430759472,0.838348772,0.203689502,-0.160053499,0.195229563,0.319099024,-0.209425384,99.10479942,151.9801855,1,150,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN1CCCCC1,[Li+].O=C1O[B-](F)(F)OC1=O,1.389185153,-0.935875879,0.111029444,0.485330686,0.308117278,-0.724181092,0.398490902,0.687893646,-0.342577279,-0.959080834,-1.667608532,-0.618448488,-0.798955123,-0.287006982,0.737934385,-0.387958044,-0.076665854,0.008496047,0.16133813,0.109062661,99.10479942,144.0017749,1,150,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCN1CCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.876501828,-1.07216772,-0.08196282,0.736596281,0.205999718,-0.486058556,0.263507963,0.37072666,0.175130808,-0.596035276,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,99.10479942,186.9396855,1,150,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCN1CCCC1,[Li+].F[P-](F)(F)(F)(F)F,0.876501828,-1.07216772,-0.08196282,0.736596281,0.205999718,-0.486058556,0.263507963,0.37072666,0.175130808,-0.596035276,-2.371316852,-0.309856161,-0.8897859,-0.430759472,0.838348772,0.203689502,-0.160053499,0.195229563,0.319099024,-0.209425384,99.10479942,151.9801855,1,150,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCN1CCCC1,[Li+].O=C1O[B-](F)(F)OC1=O,0.876501828,-1.07216772,-0.08196282,0.736596281,0.205999718,-0.486058556,0.263507963,0.37072666,0.175130808,-0.596035276,-1.667608532,-0.618448488,-0.798955123,-0.287006982,0.737934385,-0.387958044,-0.076665854,0.008496047,0.16133813,0.109062661,99.10479942,144.0017749,1,150,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC1(C(=O)Cl)CCCCC1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.578053638,-0.216590022,0.983575796,-0.309683071,0.916454188,-0.045955094,-1.378522327,0.302681818,0.322186762,-1.255211007,-2.16657931,-0.415815516,-0.412779777,-0.289515906,1.09957985,0.128733297,-0.322338982,0.258766944,0.301778981,-0.272647965,160.0654927,186.9396855,1,150,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC1(C(=O)Cl)CCCCC1,[Li+].F[P-](F)(F)(F)(F)F,0.578053638,-0.216590022,0.983575796,-0.309683071,0.916454188,-0.045955094,-1.378522327,0.302681818,0.322186762,-1.255211007,-2.371316852,-0.309856161,-0.8897859,-0.430759472,0.838348772,0.203689502,-0.160053499,0.195229563,0.319099024,-0.209425384,160.0654927,151.9801855,1,150,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
